text,likes,comments,shares,time_posted,post_url,text_length,n_words,n_exclamation,n_question,n_emoji_token,n_hashtag
Đường đua Vpop cuối tháng 5 tiếp tục nóng hơn khi 52Hz chính thức xác nhận ra mắt sản phẩm mới vào ngày 28/05 🔥,1030,57,3,,https://www.facebook.com/hhsb.vn/posts/pfbid02zkNZC6bmGq1VQ5rwxF5GRS4xF4UDgK1VNiUwHGiTQ7hTmLbs24Cg3mzGaM5puuT7l,111.0,25.0,0.0,0.0,0.0,0.0
"ĐANG VIRAL: LINE-UP ROX30 QUÁ HOT KHIẾN FAN ĐUA NHAU SĂN VÉ

Sự kiện kỷ niệm 30 năm thành lập ROX Group - ROX30 Concert: ""Vươn Mình Rực Rỡ"" đang khiến cộng đồng mạng chú ý khi công bố dàn nghệ sĩ biểu diễn không khác gì một concert Quốc gia: SOOBIN, (S)TRONG Trọng Hiếu, Dương Hoàng Yến, Đông Hùng.

Dù là sự kiện nội bộ, ROX vẫn cực hiểu tâm tư fan khi dành tặng một số vé tham dự thông qua minigame trên fanpage chính thức. Số lượng có hạn nên ai muốn “đu concert” phiên bản đặc biệt này thì phải nhanh tay nha!

#ROX #ROX30 #VuonMinhRucRo",1522,58,11,,https://www.facebook.com/hhsb.vn/posts/pfbid0pmT6QyedR6dk8Eheu4eUWraXRpuqBkB2wNJiBsxhyFSUL5wfA7U7eAv4Gx97L3iJl,541.0,110.0,1.0,0.0,0.0,3.0
"Trên kênh cá nhân, TikToker Đan Thy chia sẻ quá trình cạo đầu chuẩn bị điều trị. Cô vẫn giữ tinh thần lạc quan trong suốt thời gian thực hiện việc cắt tóc. 

Cách đây 5 ngày, Đan Thy khiến cộng đồng mạng bất ngờ khi thông báo bị ungthu 🩸. Đông đảo khán giả để lại bình luận động viên nhà sáng tạo nội dung này.",6536,132,19,,https://www.facebook.com/hhsb.vn/posts/pfbid02YbSgboh6P7CRVzebGaQ536FdJtADTQPkzUAA8HURmV39NpvBLz2zm8UM42tfKcpJl,310.0,67.0,0.0,0.0,0.0,0.0
"(PLO)- Khu phức hợp thương mại dịch vụ, cao ốc văn phòng Eros Palace tọa lạc tại trung tâm thành phố Đồng Nai sẽ tiếp tục được tháo dỡ phần công trình còn lại.

#plo #baophapluattp #baophapluattphcm",87,1,7,,https://www.facebook.com/phapluattp.vn/posts/pfbid0NGyQJQeJMAivnwThqd9Xs2SpwHEZXk97RfgBv34j7RAo5jK4zy6Dp2pyqsNQ2H5pl,198.0,37.0,0.0,0.0,0.0,3.0
Phó Thủ tướng Phạm Thị Thanh Trà thăm và tặng quà cho bệnh nhi ở TP.HCM,81,1,4,,https://www.facebook.com/phapluattp.vn/posts/pfbid084extfuR1cLngUoa31j1T3hviC8UZ13yd73veL97psGJBpijoSyPuqiNWVQenw8xl,71.0,16.0,0.0,0.0,0.0,0.0
"(PLO)- Giám đốc Ban Quản lý rừng phòng hộ Bắc Sông Hương cùng nhiều cán bộ, lãnh đạo doanh nghiệp bị khởi tố do lập khống hồ sơ nghiệm thu, gây thiệt hại hàng trăm triệu đồng

#plo #baophapluattp #baophapluattphcm",65,1,1,,https://www.facebook.com/phapluattp.vn/posts/pfbid0STxy3LvqyBagWN6s9w2ZgYaWCVvjwFWDvBcCTUaJLhenXX4Y8DHUEXu9s3e16Mh8l,213.0,40.0,0.0,0.0,0.0,3.0
"SƠN TÙNG M-TP XÁC NHẬN HỢP TÁC CÙNG TYGA TRONG MV 'COME MY WAY'

Trước đó, TYGA tương tác trên poster MV Come My Way của Sơn Tùng M-TP khiến nhiều khán giả hào hứng đồn đoán về màn hợp tác này. 

Tyga, tên thật là Michael Ray Nguyen-Stevenson là một rapper người Mỹ gốc Việt. Để ghi nhớ nguồn cội của mình, anh đã xăm một chữ ""Việt Nam"" rất lớn phía sau cánh tay phải. Anh nổi tiếng với các MV mang màu sắc tiệc tùng sôi động",9299,450,56,,https://www.facebook.com/hhsb.vn/posts/pfbid033LRhjKy11pergng6WqZDE3Ph8R3doS5T61utU4bKF7E8TcLPawymPJXhkcXs61aWl,425.0,90.0,0.0,0.0,0.0,0.0
Nghệ sĩ Lê Giang chia sẻ khoảnh khắc hạnh phúc đón cháu ngoại sau khi diễn viên Lê Lộc sinh con,6211,24,5,,https://www.facebook.com/hhsb.vn/posts/pfbid0o3QxL6fyC16rbzbZ1zAwVo5meyYpWavSJEMe4rW62mfaVeT7fTfNNrN5EoWnV4WQl,95.0,21.0,0.0,0.0,0.0,0.0
"Sau khi ghi dấu ấn qua nhiều dự án điện ảnh trăm tỉ, Quốc Anh tiếp tục thử sức với vai trò mới khi thực hiện show riêng.

Tập đầu tiên với sự góp mặt của dàn ""F4 điện ảnh"" và Kelbin Lei hiện đang nhận được nhiều sự chú ý từ khán giả 👀

#TranQuocAnh #TuTapNauSoi",2401,22,18,,https://www.facebook.com/hhsb.vn/posts/pfbid021pWmUdwgwz6NPb6e8Y6JTWbXQ5Ksh4DM6zFb3S1orcpfeYS8ZBzPYvEhQ853aoYEl,261.0,57.0,0.0,0.0,0.0,2.0
5 hiểu lầm về WiFi đang âm thầm làm chậm mạng Internet nhà bạn,65,1,6,,https://www.facebook.com/phapluattp.vn/posts/pfbid023t6gDKjofrn9jpA7TGo5sQ23MHtuEBmq62pSFwJT8PSBtS8ptSJc7pgg8qoGHqXLl,62.0,14.0,0.0,0.0,0.0,0.0
"(PLO)- Đi khám răng, một thanh niên ở Gia Lai có biểu hiện kích động, la hét, chửi bới, đập phá nhiều tài sản.

#plo #baophapluattp #baophapluattphcm",74,1,3,,https://www.facebook.com/phapluattp.vn/posts/pfbid0nttuuXSecqvNffF8a61kTLGA7B3dMsPTVKPCkrhnS96YgexPuYVXhQPs6jUZwSv6l,149.0,27.0,0.0,0.0,0.0,3.0
"(PLO)- Công an TP.HCM khởi tố hai bị can là vợ chồng chủ hộ kinh doanh Chí Phát Luxury để điều tra hành vi xâm phạm quyền sở hữu công nghiệp, thu giữ gần 2.000 sản phẩm giả mạo nhiều thương hiệu nổi tiếng như Gucci, Rolex.

#plo #baophapluattp #baophapluattphcm",634,1,24,,https://www.facebook.com/phapluattp.vn/posts/pfbid02pv5QkXjZVDAAZXWpVSVFgirXyYx58cJYp3MkzMRLtpgShZRJVGBZmnWX9yBJQkdNl,261.0,50.0,0.0,0.0,0.0,3.0
"Mèo nhà ông là mèo nào ???
Tôi trước nhé: MÈO NGÀNHHHHH 🙂

Xem ảnh cuối trước cho đỡ bất ngờ",1485,236,72,,https://www.facebook.com/hoiyeuchomeo.tv/posts/pfbid0TDRzqExFJLC9bytaN8KuvAKgByFdBRRRCKwb8AxjBcRBVwDHmeMYApGvYeftkLsnl,92.0,21.0,0.0,3.0,0.0,0.0
"Bầu trời hôm nay thật đẹp
Vĩnh biệt ký ức :)
Nguồn: Sưu tầm",10000,609,652,,https://www.facebook.com/hoiyeuchomeo.tv/posts/pfbid02npk8TNDx4sFCes6nAFNRvnHUrTubPCFHKKfL9YanR25mF32bZxyiXyyCPPCvB8zQl,59.0,14.0,0.0,0.0,0.0,0.0
Avatar đôi dành cho các cặp iuuu mèo nè mấy cậuuuuuuu :3,739,116,43,,https://www.facebook.com/hoiyeuchomeo.tv/posts/pfbid02AoLUdvdnW7GEayqoGwh1tYTJkX5gPjM31UGNUDjKiw9Eh9zxY9xRZxhV9cHygcyPl,56.0,12.0,0.0,0.0,0.0,0.0
"(PLO)- Cơ quan Di trú và Nhập tịch Mỹ (USCIS) cho biết những người nước ngoài muốn được cấp thẻ xanh phải trở về nước của họ để nộp đơn, không còn được nộp đơn tại Mỹ.

#plo #baophapluattp #baophapluattphcm",78,1,13,,https://www.facebook.com/phapluattp.vn/posts/pfbid0r2BdvifRsbAtLTiaW97NnezsNZzZ7CTSD16d75AttK9CJojJBktB6HqaC2jp47ACl,206.0,40.0,0.0,0.0,0.0,3.0
"(PLO)- Số người t.h.i.ệ.t m.ạ.n.g trong vụ nổ mỏ than tại tỉnkh Sơn Tây (Trung Quốc) tăng lên 90, 870 nhân viên được huy động cứu hộ.

#plo #baophapluattp #baophapluattphcm",48,1,5,,https://www.facebook.com/phapluattp.vn/posts/pfbid0Cf24zDLq9Y4RrjbHAaA67L3TTGNrcwjJESicPpBz3zEQ5UyL4cznxqwDTYiKMzU2l,172.0,30.0,0.0,0.0,0.0,3.0
Ông Nguyễn Thanh Nghị dự lễ ra quân Chiến dịch Thanh niên tình nguyện Hè năm 2026,124,1,2,,https://www.facebook.com/phapluattp.vn/posts/pfbid0tiaC6wShJHsUGhEogVLdS9kzo3Xuq4tXB6VLLprvH5zPTcMH4GpTbEC6CuUqWmS2l,81.0,17.0,0.0,0.0,0.0,0.0
"Hình ảnh chính thức trong tập đặc biệt Doraemon “check-in” nhiều địa danh nổi tiếng trong chuyến du lịch đến Việt Nam ♥️🇻🇳 

Trong tập này với tên “Món quà sinh nhật là chuyến du lịch đến Việt Nam”, Nobita đã bí mật chuẩn bị chuyến đi Việt Nam dành tặng Shizuka.",3112,133,243,,https://www.facebook.com/hhsb.vn/posts/pfbid0DCgyzzDUNbepxYdd39PQgodYvk1CHqAQP2dfx3vCjyNrRGKFS1D1nGWpru8QMTdbl,262.0,52.0,0.0,0.0,0.0,0.0
"🔥 DẬP TẮT CƠN NÓNG HÈ
❄ SĂN NGAY MERCH COOL MIỄN BÀN

BST này có GIỚI HẠN nhưng độ COOL thì VÔ HẠN. Act cool mọi look, cook
mọi pose phá đảo mùa hè.

Nhanh tay tìm Sprite săn ngay BST Cool Miễn Bàn. Chi tiết dưới comment 👇

#SpriteVN #CoolMienBan",1424,35,21,,https://www.facebook.com/hhsb.vn/posts/pfbid0263gzSPgdJ7WPUUnAZckNTvBVZhjLRVCKx3sqRsoc8KdbAYU34St7Xza3oyW17sUWl,246.0,52.0,0.0,0.0,0.0,2.0
Bài đăng đang gây chú ý của trang Phòng chống maithuy - Công an TP. Hồ Chí Minh:,8925,221,38,,https://www.facebook.com/hhsb.vn/posts/pfbid0y9esE26AgJNMXXHB7GkqVyqR3r9ADeAEENmxK3hrDvY7rHx8qAWfbYcXc8328Wp5l,80.0,18.0,0.0,0.0,0.0,0.0
Ông nào chỉ hộ tôi với ….,10000,3630,652,,https://www.facebook.com/hoiyeuchomeo.tv/posts/pfbid0uRxrBkVH9Z1f37HxkpVfNxwdqez2zg1qkK4Q9vHfiX1UNk8YEcDLvJ3731awQVPQl,25.0,7.0,0.0,0.0,0.0,0.0
Cách phân biệt mèo nghèo và mèo giàu 🤣,1606,270,132,,https://www.facebook.com/hoiyeuchomeo.tv/videos/447195643239374/,38.0,9.0,0.0,0.0,0.0,0.0
"Đây là 1 câu chuyện buồn, đừng ai thả haha 🥺
Cre: tik tok",1283,79,45,,https://www.facebook.com/hoiyeuchomeo.tv/videos/272541044702998/,57.0,14.0,0.0,0.0,0.0,0.0
"🍍 Cận cảnh nông dân xứ Thanh đội nắng thu hoạch dứa mùa rớt giá, giảm sản lượng",74,1,3,,https://www.facebook.com/phapluattp.vn/posts/pfbid034dtdFNVGWxT7zSajPuXNetwRUXK9jXNZ9pRAdSxcyuK9uJfMU4dzjAsEhFNZMJmTl,79.0,18.0,0.0,0.0,0.0,0.0
"Từ một vụ t.ử v.o.n.g, bóc gỡ đường dây vận chuyển hơn 2,4 tấn xyanua xuyên biên giới",510,1,15,,https://www.facebook.com/phapluattp.vn/posts/pfbid02jMgv9VPxnETdrZkesCigpUvXPK94vqCyMABA4aLFkcUPkwN2TMVaTpq3QEugjXDkl,85.0,18.0,0.0,0.0,0.0,0.0
Thủ tướng Lê Minh Hưng dự lễ an táng 28 hài cốt liệt sĩ tại Quảng Trị,180,1,6,,https://www.facebook.com/phapluattp.vn/posts/pfbid0XH79VN2nt8oyjX694TY5tippgzAUiEwxSMJWapi2sNWLF1qvq4hgYfbe4Jms2NwFl,69.0,17.0,0.0,0.0,0.0,0.0
Khi Khánh Huyền 2k4 thường xuyên bình luận video của Zan Nguyễn và cách chàng cầu thủ 2k6 'var' thẳng tin đồn hẹn hò của hai người:,6997,286,37,,https://www.facebook.com/hhsb.vn/posts/pfbid02GmeCwpYECZxV3HgkiZhzA3ny7hYPeNQVraAveWY5RmrrDzCoHGzFaS9frE44DcDWl,131.0,27.0,0.0,0.0,0.0,0.0
"Bright tiếp tục đăng ảnh đi sự kiện cùng Win đầy thân thiết

Fan: Sáng Thắng không thể rời nhau, dặm lại thôiii",1005,104,14,,https://www.facebook.com/hhsb.vn/posts/pfbid02trsXj7uQRXM1BFk2n4m36Qt71z44LsAiGG2sLqJqZPYyG8vdjYK3UUicKNMEp5phl,111.0,23.0,0.0,0.0,0.0,0.0
"Sau 'anh Ba Ngọc Sơn', đến lượt ca sĩ Duy Mạnh quay video test nhanh 'bảng 5 dải thử' (cho 5 chất khác nhau) đều cho ra kết quả 2 vạch (âm tính). Sau đó, nam ca sĩ cho biết sẽ đến bệnh viện để test chuyên sâu.",6511,266,21,,https://www.facebook.com/hhsb.vn/posts/pfbid02dhczmSXt7mq7NyCkKieetMJAddqpRZYp5AjfSwfxcNMQbJxpfbxmdQuG8X5mALJil,209.0,48.0,0.0,0.0,0.0,0.0
Đột kích nhiều địa điểm bắt giữ nhóm cung cấp Ketamine và ‘nước vui' tại Đà Lạt,277,1,6,,https://www.facebook.com/phapluattp.vn/posts/pfbid02fq2dLTPDBEbAUak5qdYVpjjo2G4qEafEGWji6CauR6kmEAdKkjLzPx2JS6fYLMbml,79.0,17.0,0.0,0.0,0.0,0.0
Mặt hồ Trái tim ở TP Huế xuất hiện lớp váng đặc quánh,33,1,2,,https://www.facebook.com/phapluattp.vn/posts/pfbid02ygtPEm3YmCjKCRx8FGi3Q8wgZuaKz5k8Y9BKLdiot1Bro1Zu33omV7JU8kojwGghl,53.0,13.0,0.0,0.0,0.0,0.0
"TP.HCM kiểm tra nhà ở, chung cư cũ, công trình dân dụng trong mùa mưa",25,1,3,,https://www.facebook.com/phapluattp.vn/posts/pfbid02AZ92saX5p8YeN3auxw6XSjavJAntKEas7oqN1n9b7w7vBGjp5m8TY4qdGR2YN4Qbl,69.0,15.0,0.0,0.0,0.0,0.0
"Chó said “ ủa gì vậy, bố t là tổng thống 🙂”",8940,403,240,,https://www.facebook.com/hoiyeuchomeo.tv/videos/830660220820127/,43.0,12.0,0.0,0.0,0.0,0.0
Thương em,10000,537,431,,https://www.facebook.com/hoiyeuchomeo.tv/videos/399120941593680/,9.0,2.0,0.0,0.0,0.0,0.0
"Hai bàn tay của iem, đây iem múa cho mịe xiemmmm phiên bản măng cụt 

#GenZnuoichomeo
Cre : Tik Tok",779,60,68,,https://www.facebook.com/hoiyeuchomeo.tv/videos/1038498253633393/,99.0,20.0,0.0,0.0,0.0,1.0
"Chưa đầy 3 tháng, giá vàng nội ‘bốc hơi’ 30 triệu/lượng",44,1,2,,https://www.facebook.com/phapluattp.vn/posts/pfbid02qdMktNfUFQpzmzjz9wFyuzkSzaFKefzKn8ZaoSLaGLA8f9vNYLTjGhRcxrd3NXUPl,55.0,11.0,0.0,0.0,0.0,0.0
"(PLO)- Dự án cải tạo môi trường rạch Văn Thánh, phường Thạnh Mỹ Tây đang bước vào giai đoạn xác định giá đất cụ thể để lập phương án bồi thường cho 1.077 hộ bị ảnh hưởng.

#plo #baophapluattp #baophapluattphcm",57,1,3,,https://www.facebook.com/phapluattp.vn/posts/pfbid0WxyfwikCmnNNDQ19cevTvDJRe6aCu2Vqq2cro5qtgURh5TfnFxReB4TEkkVJVFNjl,209.0,40.0,0.0,0.0,0.0,3.0
Hội đồng Thẩm phán TAND Tối cao thông qua 8 án lệ mới,54,1,7,,https://www.facebook.com/phapluattp.vn/posts/pfbid0349pmJXAHmRd7SPsMgnqSoL5iJ6YL4FWVfq9pT3gfr5VHPr5GRLtQhdB7zTi3Qnbel,53.0,13.0,0.0,0.0,0.0,0.0
Diễn viên Lê Lộc (con gái của nghệ sĩ Lê Giang và nghệ sĩ Duy Phương) vừa hạ sinh con đầu lòng trong niềm hạnh phúc của chồng - Tuấn Dũng cùng gia đình. Nghệ sĩ Duy Phương cũng có mặt đón cháu ngoại chào đời.,9601,56,17,,https://www.facebook.com/hhsb.vn/posts/pfbid02pFk8pdTmU88tTt7xbwgMbeN82zQiwTpx9sSmiFUX4CnRbJLBzjnhtX6PefiJtU7Ll,208.0,46.0,0.0,0.0,0.0,0.0
"Vũ Thảo My trở thành nữ nghệ sĩ Việt đầu tiên xuất hiện trên Billboard Philippines, tiếp tục nối làn sóng nghệ sĩ Việt mang âm nhạc vươn ra khu vực trong năm 2026 👀

Sau nhiều năm theo đuổi màu sắc âm nhạc riêng, Vũ Thảo My đang dần ghi dấu ấn với khán giả Đông Nam Á thông qua các dự án và màn kết hợp quốc tế. Không còn chỉ là câu chuyện “đem nhạc Việt đi xa”, mà còn là cách nghệ sĩ Việt từng bước tạo kết nối với thị trường khu vực bằng bản sắc riêng của mình.",5834,43,42,,https://www.facebook.com/hhsb.vn/posts/pfbid02mCiRJ736akW2mE2Fs2Pkx1Ad2P71xfeAbEPBj9NB2fMJPCZyigRKKc8MFbx6taNNl,464.0,104.0,0.0,0.0,0.0,0.0
"LEXXY khẳng định mình là ""kèo trên"" của các red flag, cổ không ngán một ai trong MV mới",936,17,2,,https://www.facebook.com/reel/26997114693281780/,87.0,19.0,0.0,0.0,0.0,0.0
"(PLO)- Xảy ra vụ nổ khí gas tại mỏ than ở huyện Tần Nguyên, tỉnh Sơn Tây (miền bắc Trung Quốc), làm 8 người t.h.i.ệ.t m.ạ.n.g và 38 người vẫn còn mắc kẹt dưới lòng đất.

#plo #baophapluattp #baophapluattphcm",19,1,3,,https://www.facebook.com/phapluattp.vn/posts/pfbid02XjrzF2gWjyAfHPcZjGnSFhXPfnSN38hB5BtoQUG3NHJsETGgyyUBmPDRXzUydGSYl,207.0,39.0,0.0,0.0,0.0,3.0
"‼ Thu hồi toàn quốc 2 lô kem chống nắng, mặt nạ vi phạm",187,1,12,,https://www.facebook.com/phapluattp.vn/posts/pfbid0rpi114BRMcrC3WgTL6URzoVhaSjmbzqkxCt6KbmaW12BwKQBefihGcW71WEN8Q8Ml,55.0,14.0,0.0,0.0,0.0,0.0
Cận cảnh nơi nhóm livestream 'đổ thạch' chiếm đoạt tiền tỉ tại Lào Cai,87,1,6,,https://www.facebook.com/phapluattp.vn/posts/pfbid02KaanexxsVHtkEn8kSC1xTt3uDVtshUFwxC8nu2Gfzm854ordS2KP7xs5hKo4kahTl,70.0,14.0,0.0,0.0,0.0,0.0
Rớt nước miếngggggggggg,557,162,57,,https://www.facebook.com/hoiyeuchomeo.tv/videos/1175805846247155/,23.0,3.0,0.0,0.0,0.0,0.0
